Time Delay,Threshold,Win,Loss ,Tie,Win,Loss ,Tie
0,0,9976,3,21,100,0,0
,0.5,,,,100,0,0
,0.8,,,,100,0,0
,0.9,,,,100,0,0
,0.95,,,,100,0,0
,0.999,,,,100,0,0
,1,,,,100,0,0
1,0,8987,1002,11,90,10,0
,0.5,8887,1102,11,89,11,0
,0.8,9044,705,251,90,7,3
,0.9,9140,376,484,91,4,5
,0.95,9227,5,768,92,0,8
,0.999,8809,1,1190,88,0,12
,1,2,1,9997,0,0,100
2,0,8838,1152,10,88,12,0
,0.5,8812,1170,18,88,12,0
,0.8,8709,1064,227,87,11,2
,0.9,8490,859,651,85,9,7
,0.95,8034,260,1706,80,3,17
,0.999,6811,4,3185,68,0,32
,1,8,1,9991,0,0,100
3,0,8773,1219,8,88,12,0
,0.5,8701,1269,30,87,13,0
,0.8,8405,1186,409,84,12,4
,0.9,8000,907,1093,80,9,11
,0.95,7407,556,2037,74,6,20
,0.999,4736,9,5255,47,0,53
,1,65,11,9924,1,0,99